fam_id,gene_name,dn,ds
Fam_618454,GUT_GENOME114915_00798,0.059,0.13575
Fam_552089,GUT_GENOME019024_00956,0.1343,0.1058
Fam_10024,GUT_GENOME132999_00145,0.0206667,0.378767
Fam_29772,GUT_GENOME235090_00427,0.0152,0.0993
Fam_236336,GUT_GENOME133762_00079,0.00445,0.02365
Fam_427843,GUT_GENOME167931_00345,0.0212405,0.0257919
Fam_385691,GUT_GENOME220805_00704,0.1454,0.0609
Fam_171176,GUT_GENOME254436_01678,0.0275,0.1428
Fam_90723,GUT_GENOME055806_01313,0.0105,0.0339
Fam_123004,GUT_GENOME228003_00935,0.00486667,0.0336667
Fam_538831,GUT_GENOME017803_00097,0,0.0263
Fam_254963,GUT_GENOME275829_01976,0.0346,0.111
Fam_627516,GUT_GENOME044029_00586,0.0206,0.0357
Fam_412805,GUT_GENOME083230_01837,0.621657,0.4478
Fam_40831,GUT_GENOME074583_02354,0.1058,0.1118
Fam_586034,GUT_GENOME230633_00492,0.1731,0.2545
Fam_361335,GUT_GENOME192484_00972,0.0131,0.0224
Fam_144050,GUT_GENOME071767_01562,0.08615,0.1019
Fam_609639,GUT_GENOME137707_00426,0.1499,0.89862
Fam_256808,GUT_GENOME134629_00852,0.0043,0.04225
Fam_28556,GUT_GENOME256432_00005,0.0679333,0.0584
Fam_308941,GUT_GENOME219897_00755,0.0076,0.0129
Fam_628407,GUT_GENOME139070_00447,0.133933,0.26935
Fam_343426,GUT_GENOME237868_00311,0.004,0.0467
Fam_344636,GUT_GENOME143778_05053,0.0865,0.0227
Fam_86858,GUT_GENOME281124_00545,0.0565769,0.0747923
Fam_611570,GUT_GENOME004769_02358,0.104255,0.240466
Fam_190735,GUT_GENOME147397_01062,0.0266,0.1609
Fam_355182,GUT_GENOME259379_00913,0.00546,0.0104
Fam_29975,GUT_GENOME267725_00279,0.0055,0.176567
Fam_202758,GUT_GENOME155786_00943,0.0114,0.0415
Fam_539600,GUT_GENOME001030_01112,0.0224871,0.0316952
Fam_344485,GUT_GENOME174173_01603,0.0378,0.0955
Fam_382177,GUT_GENOME216151_01204,0.0201663,0.079405
Fam_533251,GUT_GENOME237755_02027,0.140633,0.175233
Fam_454068,GUT_GENOME032279_03055,0.0194333,0.0195667
Fam_284599,GUT_GENOME000580_02823,0.012,0.0258
Fam_244987,GUT_GENOME156026_01351,0.00746667,0.0477333
Fam_363507,GUT_GENOME013574_00172,0.00655,0.08525
Fam_133542,GUT_GENOME233642_00568,0.02255,0.07455
Fam_163152,GUT_GENOME275728_00145,0.0612,0.119
Fam_272338,GUT_GENOME011755_01788,0.0833154,0.0877692
Fam_534727,GUT_GENOME006030_01822,0.0218833,0.0303667
Fam_8707,GUT_GENOME055730_01419,0.0285,0.0263333
Fam_476738,GUT_GENOME128942_00913,0.0063,0.0156
Fam_247073,GUT_GENOME008800_02040,0.076225,0.15205
Fam_559537,GUT_GENOME260478_01703,0.0162,0.103978
Fam_610043,GUT_GENOME025363_00342,0.060475,0.275175
Fam_545881,GUT_GENOME006777_02144,0.00703333,0.0395333
Fam_550472,GUT_GENOME008114_00991,0.0318,0.0526
Fam_227904,GUT_GENOME218560_00022,0.0189,0.0261
Fam_114130,GUT_GENOME016264_00950,0.0590217,0.0666267
Fam_35068,GUT_GENOME157331_01844,0.0108,0.0499
Fam_493131,GUT_GENOME262945_00535,0.1201,0.1816
Fam_266281,GUT_GENOME023418_00282,0.0196,0.0584
Fam_504079,GUT_GENOME001133_00144,0.0098,0.2888
Fam_57887,GUT_GENOME216923_01574,0.00941122,0.16766
Fam_480544,GUT_GENOME019241_01860,0,0.1113
Fam_503127,GUT_GENOME000100_00802,0,0.0699
Fam_151979,GUT_GENOME270054_01228,0.0266,0.0558
Fam_593927,GUT_GENOME054555_02222,0.0069,0.0722875
Fam_506922,GUT_GENOME278777_01144,0.0334,0.1466
Fam_57467,GUT_GENOME232688_00796,0.0087125,0.0866719
Fam_158280,GUT_GENOME082115_01807,0.0127,0.02
Fam_363775,GUT_GENOME067016_00363,0.0202,0.0311
Fam_5080,GUT_GENOME114526_00635,0.07185,0.11855
Fam_504892,GUT_GENOME086313_01305,0.0231429,0.0755214
Fam_226640,GUT_GENOME009017_00904,0.00541538,0.0227308
Fam_183493,GUT_GENOME128293_00335,0.04492,0.11116
Fam_625959,GUT_GENOME132887_02557,0.0395667,0.0402333
Fam_386813,GUT_GENOME242939_00634,0.0554,0.0345
Fam_91747,GUT_GENOME014099_01106,0.0383,0.0398
Fam_411869,GUT_GENOME103857_00578,0.0403,0.0588
Fam_248372,GUT_GENOME074534_00422,0.00216,0.03748
Fam_61317,GUT_GENOME139697_00230,0.0176,0.0442
Fam_595635,GUT_GENOME183963_01249,0.0041,0.0105
Fam_516002,GUT_GENOME281698_00505,0.008,0.0174
Fam_540238,GUT_GENOME126629_01551,0.072,0.0493833
Fam_9346,GUT_GENOME071000_00373,0,0.0258
Fam_191063,GUT_GENOME167096_00927,0.0634,0.0438
Fam_29478,GUT_GENOME117326_01830,0.003575,0.0122125
Fam_75936,GUT_GENOME070455_01649,0.01158,0.2522
Fam_314207,GUT_GENOME152576_00553,0.00673958,0.0459
Fam_385202,GUT_GENOME129263_00541,0,0.0481077
Fam_297310,GUT_GENOME274840_01224,0.01725,0.06025
Fam_472211,GUT_GENOME005559_01568,0.0327,0.0771
Fam_455830,GUT_GENOME092804_00341,0.117667,0.03365
Fam_345004,GUT_GENOME220464_00671,0.0635,0.0535
Fam_373725,GUT_GENOME270594_01544,0.0235333,0.0464333
Fam_65734,GUT_GENOME013784_00100,0.101322,0.192211
Fam_289779,GUT_GENOME107103_01670,0.0293,0.0604
Fam_114829,GUT_GENOME022648_01186,0.02376,0.18268
Fam_239644,GUT_GENOME224691_02247,0.0596833,0.06875
Fam_454700,GUT_GENOME106790_01617,0.178,0.1436
Fam_439391,GUT_GENOME115783_01249,0.0732,0.0161529
Fam_152585,GUT_GENOME205582_01226,0.15315,0.691725
Fam_560965,GUT_GENOME001052_00719,0.0214,0.03485
Fam_499952,GUT_GENOME065708_00428,0.0104819,0.0300681
Fam_128941,GUT_GENOME251495_01022,0.073,0.0723
Fam_446291,GUT_GENOME110777_00928,0.1173,0.1096
Fam_125491,GUT_GENOME069389_02190,0,0.0307667
Fam_617992,GUT_GENOME237677_00668,0.0183308,0.0262462
Fam_324849,GUT_GENOME012606_00017,0.0329,0.0243
Fam_318831,GUT_GENOME188637_00274,0.3004,0.631
Fam_611124,GUT_GENOME022484_03823,0.0674,0.0732
Fam_474056,GUT_GENOME234281_00351,0.0290333,0.0334067
Fam_264994,GUT_GENOME028302_01129,0.0242,0.0711765
Fam_113013,GUT_GENOME011130_01629,0.0572943,0.190766
Fam_95021,GUT_GENOME034327_01174,0.0960811,0.145028
Fam_333286,GUT_GENOME194352_01297,0.0036,0.0784
Fam_81252,GUT_GENOME069419_00670,0.0282333,0.482633
Fam_494413,GUT_GENOME256371_01569,0.0482,0.0306
Fam_328905,GUT_GENOME075144_00512,0.00615833,0.0522
Fam_450369,GUT_GENOME018029_01493,0.10145,0.48875
Fam_248250,GUT_GENOME239586_01389,0.0059,0.0161
Fam_605052,GUT_GENOME092293_00522,0.116517,0.133839
Fam_588055,GUT_GENOME074371_00331,0.0736,0.0208
Fam_121459,GUT_GENOME184346_00469,0.0365154,0.137572
Fam_389236,GUT_GENOME010021_01128,0.2607,0.422
Fam_546055,GUT_GENOME134614_00143,0.0431,0.0644
Fam_47311,GUT_GENOME023471_00014,0.02165,0.136965
Fam_57957,GUT_GENOME020734_01376,0.0154,0.0425
Fam_118375,GUT_GENOME284949_00366,0.09685,0.78535
Fam_414614,GUT_GENOME018602_00596,0.0193714,0.10905
Fam_369955,GUT_GENOME176157_03178,0.2438,0.2824
Fam_433340,GUT_GENOME104272_01367,0.0857,0.0375
Fam_559056,GUT_GENOME231611_00545,0.033075,0.1477
Fam_308615,GUT_GENOME191963_02124,0,0.0409
Fam_109681,GUT_GENOME270639_02341,0.1157,0.0912
Fam_565087,GUT_GENOME151374_01844,0.0214,0.1805
Fam_449251,GUT_GENOME205229_00675,0.03224,0.01066
Fam_408898,GUT_GENOME100150_02421,0,0.0448
Fam_207253,GUT_GENOME132386_02088,0.0212833,0.0435333
Fam_276928,GUT_GENOME018324_00678,0.0423,0.0429
Fam_510235,GUT_GENOME012403_01853,0.0215,0.0736
Fam_487250,GUT_GENOME157791_00624,0.0135314,0.0217543
Fam_603195,GUT_GENOME124078_01108,0.00405,0.0197
Fam_431487,GUT_GENOME139983_01019,0.04705,0.1354
Fam_36743,GUT_GENOME253446_00649,0.0351,0.0544
Fam_584731,GUT_GENOME245057_00291,0.0185714,0.0703286
Fam_116262,GUT_GENOME027287_01571,0.0472,0.03
Fam_587284,GUT_GENOME285085_00207,0.2108,0.1567
Fam_204067,GUT_GENOME128343_02028,0.0207632,0.0571105
Fam_320279,GUT_GENOME010132_01003,0.0829548,0.0801262
Fam_348662,GUT_GENOME035320_01607,0.0645,0.4343
Fam_126831,GUT_GENOME233748_00848,0.0026525,0.07423
Fam_134125,GUT_GENOME278330_00931,0.0311667,0.0351667
Fam_484094,GUT_GENOME216979_00372,0.12961,0.11914
Fam_215430,GUT_GENOME259841_01466,0.0164,0.03525
Fam_136460,GUT_GENOME010722_00146,0.00981667,0.0804667
Fam_622798,GUT_GENOME261352_00261,0.04594,0.05974
Fam_67584,GUT_GENOME044070_00116,0.0886115,0.476705
Fam_339810,GUT_GENOME235940_01355,0.0361778,0.0476111
Fam_279186,GUT_GENOME195071_01485,0.0500143,0.0412571
Fam_124431,GUT_GENOME264608_01075,0.0247,0.0537
Fam_40261,GUT_GENOME011734_00341,0,0.1447
Fam_159350,GUT_GENOME121282_01178,0.11715,0.4709
Fam_545601,GUT_GENOME157277_00352,0.079,0.2263
Fam_509867,GUT_GENOME034521_01385,0.0371778,0.0859556
Fam_283068,GUT_GENOME139644_00873,0.2591,1.0179
Fam_288725,GUT_GENOME258644_01816,0.03425,0.024
Fam_625781,GUT_GENOME180543_00093,0.0206048,0.0587095
Fam_377332,GUT_GENOME000941_00394,0.0471,0.0721
Fam_226616,GUT_GENOME236267_00356,0.00521,0.03838
Fam_409730,GUT_GENOME127658_00220,0.067475,0.058575
Fam_461510,GUT_GENOME111157_01658,0.101633,0.102333
Fam_559521,GUT_GENOME247086_01302,0.0252,0.103
Fam_510474,GUT_GENOME129222_00676,0.0343857,0.0746429
Fam_191168,GUT_GENOME282881_00874,0.0043,0.0156
Fam_609385,GUT_GENOME179193_00291,0.3403,0.6123
Fam_268234,GUT_GENOME220689_00909,0.056,0.0222667
Fam_138035,GUT_GENOME006913_01146,0.0705,0.0404
Fam_378424,GUT_GENOME118128_00141,0.0078,0.0323273
Fam_388747,GUT_GENOME242958_00428,0.1077,0.083
Fam_262180,GUT_GENOME012714_00136,0.02072,0.0817
Fam_415250,GUT_GENOME059172_01414,0,0.0433
Fam_98645,GUT_GENOME231348_04553,0.0221,0.0578
Fam_354538,GUT_GENOME075704_01044,0.0342,0.0581
Fam_147294,GUT_GENOME040942_00899,0.0247167,0.100017
Fam_381549,GUT_GENOME142497_02839,0.1359,0.1306
Fam_38705,GUT_GENOME203687_01919,0.0443,0.232
Fam_380486,GUT_GENOME254953_02947,0.0196,0.0512
Fam_300136,GUT_GENOME118633_00338,0.03434,0.04892
Fam_331474,GUT_GENOME181488_00853,0.0372,0.172771
Fam_622854,GUT_GENOME134442_00423,0.0094,0.0406
Fam_514453,GUT_GENOME103019_00797,0.213922,0.177706
Fam_482403,GUT_GENOME038527_00035,0.03,0.0147
Fam_285173,GUT_GENOME238958_00411,0.0107,0.0814333
Fam_338728,GUT_GENOME071175_01805,0.0886333,0.1416
Fam_244588,GUT_GENOME060594_01587,0.0159333,0.0130667
Fam_85473,GUT_GENOME261370_02277,0.0441933,0.0922489
Fam_395725,GUT_GENOME004671_00613,0.014225,0.055325
Fam_244247,GUT_GENOME055750_01529,0.01945,0.07195
Fam_431262,GUT_GENOME239445_00821,0.0366,0.0557533
Fam_131212,GUT_GENOME127030_00007,0.0311356,0.0657017
Fam_630589,GUT_GENOME140985_03074,0,0.0547667
Fam_447584,GUT_GENOME040329_00417,0.0057,0.0139
Fam_80972,GUT_GENOME237385_01145,0.13705,0.01545
Fam_119119,GUT_GENOME206726_01170,0.0671686,0.0512914
Fam_606740,GUT_GENOME112096_00729,0.00953333,0.0391333
Fam_125550,GUT_GENOME282540_00084,0.0263333,0.210267
Fam_542734,GUT_GENOME101005_00051,0.2217,0.7556
Fam_383360,GUT_GENOME128740_01136,0.02285,0.024825
Fam_201390,GUT_GENOME175453_00070,0,0.0254
Fam_557227,GUT_GENOME057047_00401,0.0374,0.0452
Fam_481285,GUT_GENOME262624_00862,0,0.0866
Fam_105125,GUT_GENOME088157_00268,0.0401146,0.059349
Fam_429107,GUT_GENOME058713_00615,0,0.059
Fam_240039,GUT_GENOME089781_00896,0.0122333,0.0523667
Fam_64497,GUT_GENOME088237_00057,0,0.0318
Fam_24947,GUT_GENOME136262_00781,0.0337333,0.120933
Fam_16608,GUT_GENOME280174_01229,0,0.0321333
Fam_590258,GUT_GENOME033716_01695,0.1195,0.1179
Fam_613257,GUT_GENOME027525_03098,0.0053,0.0137
Fam_178580,GUT_GENOME243249_00430,0.04652,0.0369133
Fam_630252,GUT_GENOME254226_01327,0.0353,0.2345
Fam_54392,GUT_GENOME177384_01505,0.0102,0.0286
Fam_154847,GUT_GENOME013655_00957,0.03615,0.016725
Fam_395742,GUT_GENOME013698_00809,0.00788983,0.0543
Fam_516508,GUT_GENOME055700_00011,0.013625,0.112935
Fam_190727,GUT_GENOME134151_00444,0.020505,0.01844
Fam_494256,GUT_GENOME005647_00931,0.00758,0.06728
Fam_280621,GUT_GENOME130464_00427,0.0668,0.1026
Fam_236183,GUT_GENOME237929_01207,0.042,0.366
Fam_431205,GUT_GENOME149965_00313,0.0144964,0.0429091
Fam_260504,GUT_GENOME182560_01417,0.00338667,0.0586733
Fam_145557,GUT_GENOME227381_01500,0.0157,0.0415
Fam_375405,GUT_GENOME020687_00147,0.0117667,0.0978
Fam_55748,GUT_GENOME272963_00892,0.0559667,0.275533
Fam_489665,GUT_GENOME012344_00893,0.02505,0.0226
Fam_359793,GUT_GENOME235887_00412,0.0370275,0.0904471
Fam_422633,GUT_GENOME229269_01431,0.0192,0.0682
Fam_155783,GUT_GENOME152589_00902,0,0.1398
Fam_580569,GUT_GENOME112039_00365,0.0167667,0.0101667
Fam_485270,GUT_GENOME233873_01262,0.0370667,0.0389333
Fam_83109,GUT_GENOME044029_00751,0.01,0.0735615
Fam_400361,GUT_GENOME014380_01097,0.00685714,0.0186143
Fam_558714,GUT_GENOME059108_00363,0,0.0401
Fam_418765,GUT_GENOME014659_00332,0.00253333,0.0338
Fam_47643,GUT_GENOME219067_01657,0.006,0.1639
Fam_355839,GUT_GENOME277611_01668,0,0.0449
Fam_513431,GUT_GENOME051469_00017,0.0151273,0.0614273
Fam_419173,GUT_GENOME111744_02687,0.1316,0.1544
Fam_586705,GUT_GENOME026392_01255,0.0082,0.0395
Fam_570798,GUT_GENOME087979_00911,0.0762,0.0521
Fam_612843,GUT_GENOME072186_00226,0,0.0704
Fam_402115,GUT_GENOME119917_02759,0.0591,0.3017
Fam_92785,GUT_GENOME230066_02061,0.0168741,0.065858
Fam_415160,GUT_GENOME234688_01446,0.0253532,0.0753616
Fam_57476,GUT_GENOME098121_02283,0.0273857,0.0653714
Fam_88665,GUT_GENOME225158_01792,0.0063,0.0343
Fam_590355,GUT_GENOME148007_00513,0,0.2708
Fam_575518,GUT_GENOME243666_00550,0.0456,0.3421
Fam_147940,GUT_GENOME067155_00157,0.00147143,0.0437
Fam_543849,GUT_GENOME073021_00239,0.0543857,0.174529
Fam_522841,GUT_GENOME160391_01215,0.0375667,0.107433
Fam_134419,GUT_GENOME026458_01548,0.01056,0.01058
Fam_477290,GUT_GENOME255321_01771,0.0567,0.0316
Fam_519780,GUT_GENOME142625_01376,0.009,0.0474
Fam_47891,GUT_GENOME217148_00924,0.0098,0.0791167
Fam_438471,GUT_GENOME283339_02477,0.0082,0.02705
Fam_422677,GUT_GENOME235550_01315,0.0165212,0.111911
Fam_380012,GUT_GENOME232772_00137,0.0507572,0.0868637
Fam_100418,GUT_GENOME000195_01873,0.0129,0.0566
Fam_299827,GUT_GENOME136503_00137,0.0626,0.0553
Fam_336389,GUT_GENOME251738_01349,0.00598,0.0095
Fam_194673,GUT_GENOME070130_01222,0.007,0.0494
Fam_157665,GUT_GENOME071333_01047,0.008,0.0118333
Fam_569917,GUT_GENOME117791_01079,0.0047,0.0062
Fam_77563,GUT_GENOME257029_01675,0.029975,0.084925
Fam_212541,GUT_GENOME253225_00382,0.0169,0.0317
Fam_116305,GUT_GENOME098946_01109,0.012719,0.0621962
Fam_564114,GUT_GENOME194673_00316,0.0184,0.0411
Fam_303874,GUT_GENOME134924_01618,0.0058,0.06915
Fam_383834,GUT_GENOME024851_00464,0.18377,0.69974
Fam_414391,GUT_GENOME244086_01662,0.0848,0.1484
Fam_410635,GUT_GENOME113237_00247,0.002,0.0086
Fam_37086,GUT_GENOME009437_01461,0.0218,0.0263
Fam_609183,GUT_GENOME063106_02164,0.062,0.1132
Fam_366506,GUT_GENOME093202_01726,0.00543333,0.0529
Fam_232580,GUT_GENOME115955_00295,0.0382,0.0347
Fam_534719,GUT_GENOME215001_01574,0.0167,0.01055
Fam_470916,GUT_GENOME244018_00403,0.113567,0.117517
Fam_323229,GUT_GENOME235266_02453,0.0341,0.0282
Fam_390383,GUT_GENOME024352_00275,0.0169294,0.108935
Fam_535232,GUT_GENOME280461_01677,0.0340094,0.0531312
Fam_103370,GUT_GENOME174802_00013,0.0460333,0.0503487
Fam_104814,GUT_GENOME106177_00460,0.0063,0.0636
Fam_405816,GUT_GENOME248173_01756,0.0087,0.0444
Fam_370323,GUT_GENOME248611_01723,0.0581,0.0566
Fam_464989,GUT_GENOME212224_01672,0.0073,0.0482
Fam_209420,GUT_GENOME104325_00465,0.0335,0.0614
Fam_105335,GUT_GENOME096442_00800,0.0904,0.4188
Fam_32138,GUT_GENOME255182_01196,0.0241857,0.0248714
Fam_214817,GUT_GENOME213753_00199,0.0486,0.139
Fam_161209,GUT_GENOME134442_00188,0,0.0997
Fam_148457,GUT_GENOME050605_00328,0.0197333,0.0376333
Fam_414458,GUT_GENOME023538_00697,0.00065,0.027675
Fam_287261,GUT_GENOME166403_01474,0,0.0521
Fam_158043,GUT_GENOME007337_00807,0.00713158,0.100337
Fam_163752,GUT_GENOME234776_00254,0.00583333,0.128833
Fam_90217,GUT_GENOME092429_00627,0.0577,0.0545
Fam_428834,GUT_GENOME242953_00821,0.1027,0.1458
Fam_298272,GUT_GENOME018030_00969,0.0047,0.0571571
Fam_135282,GUT_GENOME268248_00938,0.00351071,0.0480143
Fam_66293,GUT_GENOME238381_00320,0.140133,0.840683
Fam_560028,GUT_GENOME107464_03595,0.0063,0.0255
Fam_102424,GUT_GENOME253430_00043,0,0.0687
Fam_608766,GUT_GENOME218560_01602,0.0343,0.0278
Fam_406051,GUT_GENOME014292_01072,0.0185,0.05765
Fam_137171,GUT_GENOME239039_01075,0.0135,0.0338
Fam_385665,GUT_GENOME089816_01323,0.0709857,0.0319449
Fam_572868,GUT_GENOME167262_00487,0.0614,0.0531
Fam_350007,GUT_GENOME011213_00681,0.1412,0.4776
Fam_478533,GUT_GENOME027374_01472,0.0675667,0.0940848
Fam_443247,GUT_GENOME237153_00859,0.0192833,0.05375
Fam_553687,GUT_GENOME023418_00226,0.0898,0.0215
Fam_607122,GUT_GENOME222179_01466,0.0145214,0.0696143
Fam_179926,GUT_GENOME070475_00552,0.0316,0.210433
Fam_583588,GUT_GENOME112001_01367,0.0293,0.0473
Fam_253902,GUT_GENOME071138_01689,0.008,0.03306
Fam_287294,GUT_GENOME000734_02929,0.00302222,0.0288222
Fam_38851,GUT_GENOME275829_01269,0.0032,0.0325
Fam_340134,GUT_GENOME078148_03129,0.0303,0.0224
Fam_516116,GUT_GENOME043901_01941,0.0065,0.0412
Fam_406279,GUT_GENOME158416_01099,0.0161571,0.024
Fam_460136,GUT_GENOME195552_00868,0.414982,0.343418
Fam_266197,GUT_GENOME116165_01145,0.012,0.07086
Fam_446172,GUT_GENOME256059_00964,0.0039,0.1276
Fam_479131,GUT_GENOME251135_01024,0.0245,0.0848
Fam_26988,GUT_GENOME235925_01036,0.0408667,0.0604333
Fam_55577,GUT_GENOME179054_01160,0.0205333,0.125933
Fam_391556,GUT_GENOME074149_01938,0.08143,0.05021
Fam_13017,GUT_GENOME012141_00129,0.1709,1.0341
Fam_27021,GUT_GENOME268456_00997,0.01595,0.040225
Fam_137759,GUT_GENOME051552_00486,0.0865333,0.0313333
Fam_510991,GUT_GENOME244159_00546,0.0532,0.0407
Fam_221648,GUT_GENOME123378_01455,0.0127667,0.151967
Fam_216809,GUT_GENOME274851_01519,0.0282889,0.0122778
Fam_337628,GUT_GENOME221707_00004,0.0134,0.0134667
Fam_388756,GUT_GENOME174918_02833,0.026,0.0388
Fam_124992,GUT_GENOME277969_02280,0.0162,0.0827
Fam_619593,GUT_GENOME060643_01086,0.00524857,0.0977
Fam_175497,GUT_GENOME276767_00189,0,0.04145
Fam_176391,GUT_GENOME051612_00556,0.00725,0.03115
Fam_321410,GUT_GENOME138024_00360,0.0287,0.0581
Fam_356151,GUT_GENOME091806_00123,0.0144,0.0286
Fam_605643,GUT_GENOME013715_00980,0,0.0581
Fam_392683,GUT_GENOME145528_00253,0.04612,0.02992
Fam_272916,GUT_GENOME225687_02346,0.140654,0.124253
Fam_534771,GUT_GENOME126611_01735,0.100681,0.0160381
Fam_47608,GUT_GENOME039789_01400,0.00435455,0.0585818
Fam_555540,GUT_GENOME153814_01654,0.0186,0.0442667
Fam_605655,GUT_GENOME023250_01261,0.0146,0.0556
Fam_319890,GUT_GENOME235354_01053,0.0074,0.0261
Fam_425154,GUT_GENOME082911_01811,0.57855,1.03141
Fam_481940,GUT_GENOME008194_00210,0.0012,0.02118
Fam_150034,GUT_GENOME208730_00777,0.021431,0.0360793
Fam_133726,GUT_GENOME078022_00765,0.0095,0.0532
